id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n光源氏二十六歳、右大臣側の権勢に追われ、自ら須磨への蟄居を決意する巻です。愛する人々との別れ、寂寥たる海辺の生活、そして嵐の夜の怪異が描かれます。\n\n【登場人物/Characters】\n光源氏（26歳）、紫の上、藤壺、朱雀帝、朧月夜。\n\n【見どころ/Highlights】\n都を去る際の悲哀、須磨での風雅ながらも孤独な日々、そして龍神の怒りとも思える大嵐の描写が白眉です。\n\nGenji, aged 26, decides to go into voluntary exile in Suma due to political pressure. This chapter depicts the sorrow of parting, his lonely life by the sea, and the supernatural storm.\n\n「いづれの御時にか」と始まった物語は、今や主人公の没落という大きな転換点を迎えます。",都との別れを惜しむ / Bid farewell to the capital→2,,,,,miyabi.mp3,palace.jpg,,,
2,normal,"【原文/Original】\n「世の中は　いとあやなく、心憂きものにこそありけれ」と、つくづくと眺めおはして、御文書き散らし給ふ。…\n\n【現代語訳/Modern Japanese】\n世の中は本当にどうしようもなく、辛いものであると、源氏はしみじみと外を眺めて、方々に手紙を書き散らされます。藤壺の宮や紫の上との別れは、身を切られるような思いでした。源氏は自ら須磨へ退くことを決意し、住み慣れた二条院を離れます。\n\n【English/Translation】\n'The world is a strangely heartless and melancholy place,' Genji mused, gazing out at the garden while scattering letters to his loved ones. The parting with Fujitsubo and Murasaki was agonizing. Deciding to retreat to Suma to avoid further scandal, he prepares to leave his familiar residence at Nijo.\n\n「さらぬ別れ」ならぬ、生きての別れの辛さが身に沁みる場面です。","紫の上との別れ / Parting with Murasaki→3,二条院を出発する / Depart from Nijo→4",,,,,sorrow.mp3,garden.jpg,,,
3,normal,"【原文/Original】\n「惜しからぬ　身のゆくへこそ　知らねども　あまたの人の　嘆きをぞ積む」…\n\n【現代語訳/Modern Japanese】\n「惜しくもない私の身の行く末は分かりませんが、私を思って嘆く多くの人々の悲しみだけが、私の身に積もっていくようです」と源氏は詠みます。紫の上の悲しみは深く、源氏は彼女を置いていくことに後ろ髪を引かれる思いです。彼女の美しさは、涙に濡れていっそう際立っていました。\n\n【English/Translation】\n'Though I care not for my own fate, I feel the weight of the many sorrows shed for me.' Genji's heart was torn as he looked at Murasaki, who was devastated. Her beauty seemed even more radiant through her tears, making it nearly impossible for him to leave her behind.\n\n愛する人との別離を惜しみ、言葉を交わします。","旅立ちの決意を固める / Confirm the resolve to leave→4,前の場面へ / Back→2",,,,,tears.mp3,room.jpg,,,
4,normal,"【原文/Original】\n月はなうあかきに、御車に乗りて、右近の馬場を過ぐるほど、川面に映れる影もあはれに…\n\n【現代語訳/Modern Japanese】\n月がとても明るい夜、源氏は車に乗って旅立ちます。賀茂川の川面に映る月の影も、どこか寂しげに見えました。かつての栄華を思い出し、今の境遇を嘆きながら、源氏は浪速の海へと向かいます。都を離れるに従い、風景は荒涼としていきます。\n\n【English/Translation】\nUnder a brilliant moon, Genji boarded his carriage. As he passed the Ukon parade grounds, the moon's reflection on the river seemed profoundly lonely. Recalling his past glory and lamenting his current fall, he headed toward the shores of Naniwa. The scenery grew desolately wild as he distanced himself from the capital.","須磨の地に到着する / Arrive at Suma→5,前の場面へ / Back→2",,,,,travel.mp3,river.jpg,,,
5,normal,"【原文/Original】\n須磨には、いとど心細きまどひに、海づらはいと近くて、波の音いと高く…\n\n【現代語訳/Modern Japanese】\n須磨の住まいは、都の華やかさとは程遠い、寂しい場所でした。海はすぐ近くにあり、波の音が絶えず響き渡っています。源氏はここで少数の従者と共に、簡素な生活を始めます。都から届く便りだけが、彼の唯一の慰めでした。\n\n【English/Translation】\nSuma was a lonely place, far from the capital's splendor. The sea was so close that the roar of the waves was constant. Genji began a simple life there with a few attendants. Letters from the capital were his only comfort in this solitude.\n\n孤独な海辺での生活が始まります。","孤独に耐える / Endure the loneliness→6,食事をとる / Have a meal→7",,,,,sea_waves.mp3,sea.jpg,,,
6,battle,"【原文/Original】\n心細く、世の中を思ひ続くるに、昔の罪も恐ろしく…\n\n【現代語訳/Modern Japanese】\n一人の夜、源氏は過去の過ちや、自らの運命に対する不安に襲われます。これは内面的な「寂寥の鬼」との戦いです。都での栄華、禁断の恋。それらすべてが、今の孤独を際立たせる刃となって彼を苦しめます。彼は自らの心と向き合い、この試練を乗り越えねばなりません。\n\n【English/Translation】\nIn his solitude, Genji was haunted by past sins and anxieties about his fate. This is a battle with the 'demon of loneliness' within his heart. His past glory and forbidden loves now turned into blades of regret. He must confront his soul to overcome this trial.",孤独な心と戦う / Fight the lonely heart,寂寥の鬼 / Demon of Loneliness,7,10,8,melancholy.mp3,dark_sea.jpg,,,
7,normal,"【原文/Original】\n山里の　慰めがたき　冬の日を　いかに過ぐすと　問ふ人もなし…\n\n【現代語訳/Modern Japanese】\n冬の日の寂しさは格別です。従者たちが用意してくれた質素な食事が、冷えた体に染み渡ります。都での贅を尽くした宴とは比べものになりませんが、命を繋ぐことの尊さを源氏は実感します。食事を済ませ、体力を回復させましょう。\n\n【English/Translation】\nWinter days in this mountain retreat are exceptionally lonely. The simple meal prepared by his servants warms his chilled body. It is incomparable to the lavish banquets in the capital, yet Genji realizes the preciousness of sustaining life. Eat and recover your strength.\n\n休息の時間です。",次へ進む / Proceed→8,,,,,quiet.mp3,kitchen.jpg,!eat,,
8,normal,"【原文/Original】\nつれづれなるままに、絵など描きて、都の人に遣はすべきなど思ふ…\n\n【現代語訳/Modern Japanese】\n手持ち無沙汰な時間に、源氏は絵を描き始めます。その筆致は素晴らしく、都の絵師も及ばぬほどでした。彼は自らの心境を絵に託し、いつか都の人々に見せる日を夢見ます。芸術が、彼の荒んだ心を一時的に癒してくれました。\n\n【English/Translation】\nTo pass the tedious hours, Genji took up painting. His skill was so extraordinary that even professional artists in the capital could not hope to match it. He poured his heart onto the silk, dreaming of the day he might show these works to his friends. Art provided a temporary respite for his weary soul.","都からの便りを受け取る / Receive a letter from the capital→9,前の場面へ / Back→5",,,,,painting.mp3,room.jpg,,,
9,normal,【原文/Original】\n「都のことは、いかがあるらむ」と、はかなきことだに、思ひやらぬ時なう…\n\n【現代語訳/Modern Japanese】\n紫の上からの便りが届きました。そこには、彼女の変わらぬ愛と、源氏を待つ切ない思いが綴られていました。源氏は涙ながらにその文を読み、返事をしたためます。遠く離れていても、心は繋がっていることを再確認する瞬間でした。\n\n【English/Translation】\nA letter arrived from Murasaki. It contained her unchanging love and her painful longing for his return. Genji read it through tears and composed a reply. It was a moment of reaffirming their spiritual connection despite the vast distance between them.,"月夜の情景に浸る / Immerse in the moonlight→10,前の場面へ / Back→8",,,,,nostalgia.mp3,letter.jpg,,,
10,normal,"【原文/Original】\n今宵は十五夜なりけりと思し出でて、殿上の御遊びなど、いかに賑はふらむと…\n\n【現代語訳/Modern Japanese】\n今夜は十五夜。都では今頃、宮中で盛大な月見の宴が開かれていることでしょう。源氏はかつて自分がその中心にいたことを思い出します。須磨の月は清らかで美しいものの、それを分かち合う相手がいない悲しみが彼を包みます。\n\n【English/Translation】\nTonight is the night of the full moon. Genji remembers the grand moon-viewing banquets that would be held at Court. He recalls being the center of such festivities. Though the moon over Suma is pure and beautiful, the sadness of having no one to share it with envelops him.","明石入道の噂を聞く / Hear rumors of the Akashi Novice→11,前の場面へ / Back→9",,,,,moon.mp3,cliff.jpg,,,
