id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n玉鬘は実の父・内大臣との対面を望みつつも、養父・光源氏の庇護下にあります。本帖では冬の大原野への行幸が行われ、玉鬘はその華やかな行列を遠くから見物します。冷泉帝の神々しい姿に心打たれ、彼女の運命は大きく動き出します。\n\n【登場人物/Characters】\n光源氏（39歳）、玉鬘（24歳）、冷泉帝（18歳）、内大臣（41歳）。\n\n【見どころ/Highlights】\n雪景色のなかの豪華絢爛な儀式、そして実の父への思慕と養父の思惑に揺れる玉鬘の繊細な心理描写が見どころです。\n\n【English】\nTamakazura longs for her father, Naidaijin, while remaining under Genji's care. During a royal outing to Oharano, she glimpses the radiant Emperor Reizei, shifting her heart's course. Observe the contrast between the snowy landscape and the colorful courtly life.",物語を始める/Start the Story→2,,,,,court_peace.mp3,palace_gate.jpg,,,
2,normal,"【原文/Original】\n十二月の十日あまり、大原野に行幸時めかしたまふ。例の、数ならぬ人々だに、いとどしき冬の空、このころの雪の降り積もれるを、あやしういかならむと思ふに…。\n\n【現代語訳/Translation】\n十二月十日過ぎ、大原野への行幸が華々しく行われました。身分の低い者でさえ、冬の空模様や降り積もった雪を見て、この寒さの中で行幸はどうなることかと思いを馳せます。玉鬘もまた、六条院の車に乗って見物に出かけることになりました。\n\n【English】\nIn mid-December, a grand royal procession to Oharano was held. Even commoners marveled at the snow-covered scenery, wondering how the ritual would proceed in such chill. Tamakazura set out in a carriage from the Rokujo estate to witness the spectacle.","行列を見守る/Watch the Procession→3,前の場面へ/Previous Scene→1",,,,,winter_wind.mp3,snow_landscape.jpg,,,
3,normal,"【原文/Original】\n先駆どもの、色々に装束き、馬の歩みなどいと華やかに見ゆるに、親王たち、公卿、数知らず。玉鬘の君は、車の中に引き入りて、この世の栄華を目の当たりにする心地す。\n\n【現代語訳/Translation】\n先駆の者たちが色とりどりの装束を纏い、馬を歩ませる姿は実に見事です。親王や公卿たちが数えきれないほど列をなしています。玉鬘は車の中に深く身を隠しながら、この世の栄華を目の当たりにし、圧倒される思いでした。\n\n【English】\nThe vanguards in colorful robes and the stately horses created a magnificent sight. Countless princes and high officials followed. Peering from her carriage, Tamakazura felt overwhelmed by this direct encounter with the pinnacle of worldly splendor.","さらに奥を覗く/Look Further In→4,前の場面へ/Previous Scene→2",,,,,festive_march.mp3,carriage_view.jpg,,,
4,normal,【原文/Original】\n帝の御影、いとまばゆきまで光り輝き、天人降れる心地して、見奉る。思ひしよりはいみじう尊く、わが身の危ふさも忘れて、ただ見入りたまへり。\n\n【現代語訳/Translation】\n冷泉帝のお姿は、まばゆいばかりに光り輝き、まるで天人が舞い降りたかのようです。玉鬘は想像していたよりもずっと尊いその御姿を拝見し、自分自身の複雑な境遇も忘れて、ただただ見入ってしまいました。その美しさは光源氏に酷似していました。\n\n【English】\nEmperor Reizei’s presence was so radiant it felt as if a celestial being had descended. He was more sublime than she had imagined; Tamakazura forgot her own precarious situation and gazed at him in awe. His resemblance to Genji was striking.,"心を落ち着かせる/Calm the Heart→5,前の場面へ/Previous Scene選→3",,,,,emperor_theme.mp3,golden_shrine.jpg,,,
5,battle,"【心の葛藤/Internal Conflict】\n玉鬘の心の中に、激しい葛藤が生まれます。これほどまでに尊い帝に仕えるべきか、それとも実の父を名乗り出るべきか。養父・源氏の恋心という不穏な影も彼女を苦しめます。この不安を打ち消し、心の平安を取り戻さねばなりません。\n\n【English】\nA fierce conflict arises in Tamakazura's heart. Should she serve such a noble Emperor, or seek her true father? Genji's unsettling affection also haunts her. She must overcome this inner turmoil to regain peace.",迷いと戦う/Fight the Doubt,迷い/Doubt,6,10,6,battle_spirit.mp3,mind_scape.jpg,,,
6,normal,"【現代語訳/Translation】\n葛藤を乗り越え、彼女は静かに祈りを捧げました。行幸の列が過ぎ去った後、六条院へ戻る道中も、帝の残像が目に焼き付いて離れません。源氏はこの様子を見て、彼女が帝の后候補として相応しいと確信を深めます。\n\n【English】\nOvercoming her turmoil, she offered a silent prayer. Even as the procession passed and she returned to the Rokujo estate, the Emperor’s image remained etched in her mind. Genji, observing her, felt more certain that she was a fit candidate for the court.",六条院に戻る/Return to Rokujo→7,,,,,peaceful_evening.mp3,palace_night.jpg,,,
7,normal,"【原文/Original】\n源氏の宮、大宮の御もとなどにも、このよし聞こえたまふ。内大臣は、ただならず思しわたるに、いと心苦しき御気色なり。\n\n【現代語訳/Translation】\n源氏は大宮（内大臣の母）のもとへも消息を伝えます。内大臣は、行方不明の娘（玉鬘）のことを常に案じており、その沈痛な面持ちは周囲の者の心を痛めさせるほどでした。父子の対面はまだ叶いません。\n\n【English】\nGenji sent word to Omiya. Naidaijin, meanwhile, was constantly preoccupied with his missing daughter, his sorrowful expression touching all who saw him. The reunion between father and child remained a distant hope.","休息をとる/Take a Rest→8,前の場面へ/Previous Scene→6",,,,,,,,,!eat
8,normal,"【原文/Original】\n近江の君、いとあさましく、はしたなきわざをして、人々笑ふ。この君のありさまを、内大臣はいと苦しう思せり。\n\n【現代語訳/Translation】\n一方、内大臣の邸では、不作法な「近江の君」が騒動を起こし、人々を失笑させていました。内大臣は、上品な玉鬘のような娘を求めているのに、現れたのはこのお転婆な娘であったことに深く嘆息します。\n\n【English】\nIn Naidaijin's household, the unrefined Omi no Kimi caused a scene, making people laugh in derision. Naidaijin sighed, longing for a graceful daughter like Tamakazura instead of this wild girl.","内大臣の苦悩を見る/See Naidaijin's Grief→9,前の場面へ/Previous Scene→7",,,,,comedy_bgm.mp3,traditional_room.jpg,,,
9,normal,"【現代語訳/Translation】\n内大臣は、かつて夕顔との間に生まれた娘を思い出し、仏に祈ります。「もし生きているならば、いつか出会わせてほしい」と。その切実な願いは、読者の胸を打ちます。玉鬘がすぐ近くにいることも知らずに。\n\n【English】\nNaidaijin prayed to the Buddha, remembering the daughter he had with Yugao. He pleaded to meet her if she still lived. His sincere wish is heartbreaking, as he is unaware that Tamakazura is so close by.","源氏の企みを伺う/Spy Genji's Plot→10,前の場面へ/Previous Scene→8",,,,,sad_strings.mp3,temple_hall.jpg,,,
10,normal,"【原文/Original】\n光源氏は、玉鬘を内大臣に引き合はすべき時を計らひたまふ。されど、いとをかしき人の容貌を、さらにおろかには思されず…。\n\n【現代語訳/Translation】\n源氏は玉鬘を内大臣に引き合わせるタイミングを図っています。しかし、彼女の美しさを独占したいという執着心も捨てきれず、複雑な策略を巡らせます。これは彼にとっての「愛」の形なのでしょうか。\n\n【English】\nGenji looked for the right time to introduce Tamakazura to Naidaijin. Yet, unable to let go of his desire to keep her beauty for himself, he wove a complex web of schemes. Was this truly his form of 'love'?","執着心に抗う/Resist Attachment→11,前の場面へ/Previous Scene→9",,,,,dark_romance.mp3,shadowy_room.jpg,,,
