id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n\n宇治の川に身を投げた浮舟（22歳）は、横川の僧都によって救われ、小野の草庵で息を吹き返します。かつての恋人たち、薫や匂宮との愛執を断ち切りたいと願う彼女の、孤独と再生の物語です。\n\n【登場人物と年齢/Characters and Ages】\n\n浮舟 (Ukifune): 22歳。絶望の末に救われ、出家を願う。\n\n横川の僧都 (Yokogawa no Sozu): 徳の高い高僧。浮舟を救う。\n\n中将の君 (Chujo no Kimi): 僧都の妹。亡き娘の面影を浮舟に重ねる。\n\n【見どころ/Highlights】\n\n比叡山の奥深く、小野の地での四季の移ろいと、浮舟が筆を走らせる「手習」を通じて描かれる繊細な心理描写が白眉です。\n\n(English: Ukifune, saved from suicide, lives in seclusion at Ono. She struggles between her desire to renounce the world and the lingering memories of her past lovers.)",物語の始まりへ/Begin the Story→2,,,,,meditation.mp3,ono_scenery.jpg,,,
2,normal,"【原文/Original】\n\n明けはなれゆく空のけしき、いみじうなつかしく、花の色、鳥の声も、心とどめて見聞かまほしきものの、わが身ひとつは、何によりてか、かく憂き目を見るらむ。\n\n【現代語訳/Modern Japanese】\n\n夜が明けていく空の景色はたいそう心惹かれるもので、花の色や鳥の声も、心して見聞きしたいものですが、私一人は、どうしてこのような辛い目に遭うのでしょうか。浮舟は、小野の草庵で意識を取り戻しましたが、生きていたことを深く嘆き、食事も喉を通りません。\n\n(English: The morning sky was lovely; the flowers and birds invited her attention. Yet she wondered why she alone had to suffer such a fate. Recovering at the hut in Ono, she mourned her survival.)","中将の君に声をかけられる/Addressed by Chujo no Kimi→3,あらすじに戻る/Back to Summary→1",,,,,quiet_morning.mp3,temple_inside.jpg,!eat,,
3,normal,"【原文/Original】\n\n中将の君、かたはらに寄りゐて、「など、かくなかなか、いみじき御心惑ひをのみしたまふ。命だに、さるべきものにておはしましければこそ」と聞こゆ。\n\n【現代語訳/Modern Japanese】\n\n中将の君がそばに寄り添って言いました。「どうして、そんなにひどく思い悩んでばかりいらっしゃるのですか。命があったのは、前世からの深いご縁があったからこそですよ」と。彼女は亡くなった娘の代わりに、この美しい貴婦人を慈しもうとします。しかし、浮舟の心はまだ死の淵を彷徨っています。\n\n(English: Chujo no Kimi sat by her side and said, 'Why do you distress yourself so? It is by fate that your life was spared.' She treated Ukifune like her own lost daughter, but Ukifune's heart remained in the shadows.)","草庵を歩く/Walk through the Hut→4,前の場面へ/Go Back→2",,,,,soothing.mp3,garden_autumn.jpg,,,
4,battle,"【心の葛藤：過去の執着/Conflict: Attachment to the Past】\n\n浮舟の脳裏に、薫の清廉な姿と、匂宮の情熱的な残り香が交互に現れます。彼らに見つかりたくない、しかし忘れ去られるのも恐ろしい。その激しい自責の念が、彼女の精神を蝕む魔物のように襲いかかります。彼女は自分自身の「情」と戦わなければなりません。\n\n(English: Memories of Kaoru and Niou-no-Miya haunt her. She fears being found, yet dreads being forgotten. She must battle her own lingering attachments.)",過去と戦う/Battle the Past,過去の未練/Lingering Regrets,5,10,5,inner_struggle.mp3,misty_forest.jpg,,,
5,normal,"【原文/Original】\n\n今は、ただ、わが身を、なきものに、もてなして、尼になりなむと思ふ。あやしく、あさはかなる、わが心に、よからぬ名をや、立てつらむ。\n\n【現代語訳/Modern Japanese】\n\n今はただ、自分を死んだものとして扱い、出家して尼になりたいと願うばかりです。愚かな私のせいで、恥ずかしい浮名を流してしまった……。浮舟は自らの愚かさを恥じ、世俗との絆を完全に断つ決意を固めます。しかし、中将の君たちは、彼女が若く美しいことを惜しみ、出家を許しません。\n\n(English: 'Now I wish only to consider myself dead and become a nun,' she thought. She felt ashamed of the scandals her indecision had caused. While she sought renunciation, those around her felt she was too young and beautiful for the veil.)","手習い（筆を執る）/Writing Practice→6,前の場面へ/Go Back→3",,,,,koto_music.mp3,writing_desk.jpg,,,
6,normal,"【原文/Original】\n\n手習をせむとて、ふるき歌、をかしきことなど、書きまぜつつ、心のゆくかたを求め給ふに、「なきものと思ひなりぬる身なれば」と書きたり。\n\n【現代語訳/Modern Japanese】\n\n気を紛らわそうと習字を始め、古い和歌や興味深い言葉を書き連ねながら、心の晴れる道を探します。その中に「自分はもう、この世にいないものと思い込んだ身であるから」と書き記しました。筆を動かすことで、彼女の沈黙の叫びが紙の上に溢れ出します。\n\n(English: To distract herself, she practiced her calligraphy, writing old poems and random thoughts. She wrote, 'Since I have come to think of myself as one no longer of this world.' Her silent cries poured onto the paper.)","季節の移ろいを見る/Observe the Seasons→7,前の場面へ/Go Back→5",,,,,serene_stream.mp3,paper_brush.jpg,,,
7,normal,"【原文/Original】\n\n秋の風の、いと、うそ寒う吹きたるに、萩の露、こぼれつつ、虫の声、いと、かぼそく聞きわたさるる、夕暮の心地、いみじう、悲し。\n\n【現代語訳/Modern Japanese】\n\n秋の風がひどく寒々と吹いて、萩の露がこぼれ落ち、虫の声が弱々しく聞こえてくる。そんな夕暮れの心地は、たいそう悲しいものでした。小野の山里は都から遠く、寂しさが身に沁みます。浮舟は、この静寂こそが自分の居場所であると感じ始めます。\n\n(English: The autumn wind blew cold, dew fell from the bush clover, and the chirping of insects was faint. The loneliness of evening in the mountain village of Ono pierced her heart. She felt this solitude was where she belonged.)","食事をして休む/Eat and Rest→8,前の場面へ/Go Back→6",,,,,wind_sound.mp3,autumn_field.jpg,!eat,,
8,normal,"【現代語訳/Modern Japanese】\n\n中将の君が、山の幸を用意してくれました。少しずつですが、浮舟も食事を摂ることができるようになり、体力が回復してきます。しかし、食欲が戻るにつれ、逆に生への執着や、かつての華やかな都の暮らしが夢のように思い出され、彼女を苦しめるのでした。\n\n(English: Chujo no Kimi prepared mountain delicacies. As Ukifune's strength returned with the food, so did the painful, dream-like memories of her former life in the capital.)","法要の噂を聞く/Hear Rumors of a Rite→9,前の場面へ/Go Back–>7",,,,,temple_kitchen.mp3,meal_table.jpg,,,
9,normal,"【原文/Original】\n\n中将の君の夫、右近の少将といふ人、御獄より帰りて、もてきたりける物など、心もとなう、めづらしきを、物語して、山に上りぬ。\n\n【現代語訳/Modern Japanese】\n\n中将の君の義理の息子、右近の少将が山から帰ってきました。彼は浮舟の姿を垣間見て、その美しさに驚愕します。都にこれほどの女性がいるだろうかと、彼は浮舟に興味を持ち始めます。再び、浮舟の周りに男の影が忍び寄ります。\n\n(English: Chujo no Kimi's son-in-law returned from the mountains. Catching a glimpse of Ukifune, he was stunned by her beauty and began to take an interest in her. Once again, the shadow of a man approached her life.)","少将からの求婚を拒む/Reject the Proposal→10,前の場面へ/Go Back→8",,,,,nature_ambient.mp3,shaded_veranda.jpg,,,
10,battle,【心の葛藤：男への不信/Conflict: Distrust of Men】\n\n少将からの熱烈な歌や文が届きますが、浮舟の心には拒絶反応しかありません。薫の深い愛情も、匂宮の強引な情熱も、結局は自分を追い詰めるものでした。彼女は、親切を装って近づく男たちのエゴイズムを打ち払わねばなりません。\n\n(English: Letters arrive from the young officer. Ukifune feels only revulsion. Both Kaoru's deep love and Niou's passion had led her to despair. She must strike down the encroaching male ego.),心を閉ざす/Close the Heart,男への不信感/Distrust of Men,7,8,11,tension.mp3,letter_box.jpg,,,
