id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n光源氏23歳から25歳の物語。六条御息所は、源氏の冷淡な態度と葵の上への生霊の事件に悩み、斎宮となった娘と共に伊勢へ下る決意をします。源氏は野の宮に彼女を訪ね、別れを惜しみます。一方、桐壺院が崩御し、朱雀帝の御代となって右大臣家が権勢を振るう中、源氏の立場は危うくなります。\n\n【登場人物/Characters】\n光源氏（23-25歳）、六条御息所（30-32歳）、藤壺中宮、朧月夜。\n\n【見どころ/Highlights】\n野の宮での美しくも悲しい別れ、桐壺院の崩御による時代の転換、そして禁じられた恋の再燃が描かれます。\n\nEnglish: Genji, aged 23 to 25. Lady Rokujo decides to go to Ise with her daughter. The story covers the death of the Retired Emperor Kiritsubo and the rising political tension. Key scenes include the parting at Nonomiya and Genji's precarious position in court.",野の宮の別れへ/To Nonomiya→2,,,,,court_music.mp3,palace_gate.jpg,,,
2,normal,"【原文/Original】\n「秋の野の、露けき道を踏み分けて、いとどしき御心ばえかな……」\n源氏は、伊勢へ発つ前の六条御息所を訪ねて、嵯峨野の野の宮へと向かいます。秋の野原は露に濡れ、風の音が寂しく響いています。\n\n【現代語訳/Modern Japanese】\n秋の野の露に濡れた道をかき分けて、源氏は六条御息所が潔斎を続けている野の宮を訪ねました。黒木の鳥居や小柴垣が、かえって心に深く染み入るような風情を醸し出しています。源氏は榊の枝を差し入れ、別れを惜しみますが、御息所の決意は固く、二人の間には深い悲しみが漂います。\n\nEnglish: Genji visits Lady Rokujo at Nonomiya in Sagano. The path through the autumn fields is damp with dew. He offers a branch of sakaki as a sign of his heart. However, her resolve to leave for Ise is firm, and the atmosphere is heavy with sorrow.","御息所の葛藤/Rokujo's Conflict→3,戻る/Back→1",,,,,sad_strings.mp3,nonomiya.jpg,,,
3,battle,"【心の葛藤/Internal Conflict】\n六条御息所の心の中では、源氏への未練と、高貴な身分としての矜持が激しくぶつかり合っています。去るべきか、留まるべきか。彼女の魂は千々に乱れ、その苦悩が形を成して源氏に問いかけます。\n\n【解説/Commentary】\nこの戦闘は物理的なものではなく、彼女自身の「執着」との戦いです。源氏は彼女の心を鎮めることができるでしょうか。\n\nEnglish: Inside Lady Rokujo's heart, her lingering affection for Genji battles with her pride. This is a struggle against her own attachments. Can Genji soothe her troubled spirit?",執着と戦う/Fight the attachment,六条御息所の執着/Rokujo's Attachment,8,8,4,intense_biwa.mp3,dark_mist.jpg,,,
4,normal,"【原文/Original】\n「神垣は しるしの枝も なきものを……」\n御息所は、源氏の言葉に心揺れながらも、ついに伊勢への旅路を急ぎます。\n\n【現代語訳/Modern Japanese】\n葛藤の末、御息所は一時的な心の平穏を得ましたが、それでも伊勢行きの決心は揺らぎませんでした。源氏は彼女との別れを惜しみ、車の中で涙を流します。都を去る一行を見送る人々の目には、その華やかさと悲しさが焼き付きました。\n\nEnglish: Despite the emotional turmoil, Lady Rokujo proceeds with her journey to Ise. Genji, left behind, weeps in his carriage as he watches the procession depart. The elegance of their departure only highlights the profound sadness.","桐壺院の崩御へ/To Emperor's Death→5,戻る/Back→2",,,,,melancholy.mp3,forest_path.jpg,,,
5,normal,"【原文/Original】\n「国の柱も折れぬべき心地して、世の中ひっくり返りたる心地す」\n桐壺院が崩御され、世情は一変します。\n\n【現代語訳/Modern Japanese】\n父である桐壺院がこの世を去りました。源氏にとって最大の庇護者を失ったことを意味します。宮中では右大臣家が勢力を強め、源氏や藤壺中宮への圧迫が強まっていきます。華やかだった時代が終わりを告げ、不穏な影が忍び寄ります。\n\nEnglish: The Retired Emperor Kiritsubo passes away. Genji loses his greatest protector. The political landscape shifts dramatically as the Right Minister's faction gains power, casting a shadow over Genji's future.","供養の席へ/To the Memorial→6,戻る/Back→4",,,,,funeral_hymn.mp3,temple.jpg,,,
6,normal,"【食事/Refreshment】\n法要の合間に、心身を癒すための精進料理が振舞われます。\n\n【解説/Commentary】\n深い悲しみの中でも、人々は生きていかねばなりません。源氏もまた、亡き父を偲びながら、静かに膳に向かいます。ここで一時の休息を取り、これからの苦難に備えましょう。\n\nEnglish: During the memorial services, Buddhist vegetarian cuisine is served. Even in deep mourning, life continues. Genji takes a moment of quiet reflection and nourishment.",次へ進む/Proceed→7,,,,,temple_ambient.mp3,dining_hall.jpg,!eat,,
7,normal,"【原文/Original】\n「藤壺の宮、いとど人目を包ませ給ひて……」\n藤壺中宮は、亡き院との約束と罪の意識の間で苦しみます。\n\n【現代語訳/Modern Japanese】\n藤壺中宮は、源氏との間に生まれた冷泉帝の秘密を守るため、そして亡き院への申し訳なさから、ついに出家を決意します。源氏にとっては、永遠の憧れである人が仏門に入ることは、一つの死にも等しい衝撃でした。彼女は執拗な源氏の求愛を拒み続け、清らかな道を選びます。\n\nEnglish: Fujitsubo, burdened by the secret of her son's true parentage and her loyalty to the late Emperor, decides to become a nun. To Genji, this is a devastating blow, as it marks the end of his pursuit.","藤壺の決意へ/Fujitsubo's Resolve→8,戻る/Back→6",,,,,sacred_bell.mp3,buddhist_altar.jpg,,,
8,normal,"【原文/Original】\n「世の中は夢か現か……」\n藤壺の出家を知った源氏は、虚脱状態に陥ります。\n\n【現代語訳/Modern Japanese】\n藤壺中宮の出家はあまりに唐突でした。源氏は自分のこれまでの過ちを悔い、同時に彼女を失った絶望に打ちひしがれます。もはや自分を支えてくれる光はどこにもないように感じられました。物語は、源氏の政治的孤立と情熱の暴走へと加速していきます。\n\nEnglish: Genji is devastated by the news of Fujitsubo taking the tonsure. He regrets his past transgressions and feels overwhelmed by despair, losing the 'light' that had guided his life.","朧月夜との再会へ/Meeting Oborozukiyo→9,戻る/Back→7",,,,,solitude.mp3,monastery.jpg,,,
9,normal,"【原文/Original】\n「おぼろ月夜の、いとど艶なるに……」\nそんな中、源氏は以前から縁のあった朧月夜と再び密会を重ねるようになります。\n\n【現代語訳/Modern Japanese】\n藤壺を失った寂しさを埋めるかのように、源氏は右大臣の娘であり、現帝の寵愛を受ける朧月夜との危険な恋に溺れます。彼女の部屋に忍び込むことは、政治的破滅を意味しますが、源氏は止まることができません。月光の下、二人は密やかな時間を過ごします。\n\nEnglish: Seeking to fill the void left by Fujitsubo, Genji indulges in a dangerous affair with Oborozukiyo, who is favored by the current Emperor. Sneaking into her room is political suicide, yet Genji cannot stop himself.","密会の露見へ/Affair Discovered→10,戻る/Back→8",,,,,clandestine_night.mp3,moonlit_room.jpg,,,
10,battle,"【政治的危機/Political Crisis】\n密会中、ついに右大臣に見つかってしまいます。右大臣は激怒し、これを機に源氏を失脚させようと牙を剥きます。これは源氏の政治生命をかけた「試練」です。\n\n【解説/Commentary】\n怒り狂う右大臣の追及をかわし、何とかその場を切り抜けなければなりません。源氏の運命が分かれます。\n\nEnglish: During a secret meeting, Genji is discovered by the Right Minister. Furious, the Minister attempts to use this scandal to ruin Genji politically. Genji must survive this confrontation.",難を逃れる/Survive the scandal,右大臣の追及/The Minister's Wrath,10,12,11,tension.mp3,veranda.jpg,,,
11,normal,"【原文/Original】\n「いみじき過ちなり。これより先は、闇に迷ふべきか……」\n露見した醜聞は、もはや隠しきれるものではありませんでした。\n\n【現代語訳/Modern Japanese】\n右大臣家による徹底的な弾圧が始まります。弘徽殿大后は源氏を都から追放するよう朱雀帝に迫ります。源氏は自分の軽率な行動が、取り返しのつかない事態を招いたことを悟ります。都での居場所は日に日に失われ、孤独が彼を包みます。\n\nEnglish: The scandal cannot be hidden. The Kokiden Consort pressures the Emperor to exile Genji. Genji realizes his reckless actions have led to an irreversible situation, and he finds himself increasingly isolated in the capital.","二条院の休息/Rest at Nijo-in→12,戻る/Back→10",,,,,heavy_atmosphere.mp3,dark_corridor.jpg,,,
12,normal,"【食事/Refreshment】\n逃げ込んだ二条院で、紫の上と共に静かな食事を摂ります。\n\n【解説/Commentary】\n外の世界の騒がしさを忘れ、幼い頃から育ててきた紫の上との穏やかな時間は、源氏にとって唯一の救いです。彼女の無垢な笑顔が、荒んだ心を癒してくれます。ここで英気を養いましょう。\n\nEnglish: Back at his residence, Nijo-in, Genji shares a quiet meal with Lady Murasaki. Her innocence and the peaceful time they spend together provide the only solace in his turbulent life.",次へ進む/Proceed→13,,,,,peaceful_koto.mp3,garden_view.jpg,!eat,,
