id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,"【あらすじ/Summary】\n\n若紫（紫の上）を二条院に迎えた源氏ですが、一方で亡き常陸宮の娘、末摘花の噂を耳にします。彼女は困窮しながらも高潔な暮らしを続けていると聞き、源氏は興味を抱きます。しかし、実際に会ってみると彼女は極端に鼻が赤く、古風で融通の利かない女性でした。源氏の理想と現実のギャップ、そして彼が見せる奇妙な誠実さが描かれます。\n\n【登場人物と年齢/Characters and Ages】\n\n光源氏：18歳。若き貴公子の飽くなき好奇心が騒ぎます。末摘花：年齢不詳（源氏より年上）。常陸宮の姫君。\n\n【見どころ/Highlights】\n\n洗練された貴公子・源氏が、予想外の『不細工な姫君』に直面した時の戸惑いと、それでも彼女を見捨てない人間味に注目です。\n\n[English]\nGenji has welcomed Murasaki to his residence, but curiosity leads him to Suetsumuhana, the daughter of the late Prince Hitachi. She lives in poverty but maintains her dignity. However, when Genji finally sees her, he is shocked by her long, red nose and stiff personality. The chapter highlights the gap between Genji's ideals and reality, and his eventual kindness toward her.",物語を始める/Start the Story→2,,,,,miyabi.mp3,palace.jpg,,,
2,normal,"【原文/Original Text】\n\n常陸宮亡うせたまひて後、世に頼るべき人もなう、荒れたる宿に月日を送りたまふ。風の音も心細く、蓬生は門を鎖し、道も定かならず。\n\n【現代文/Modern Japanese】\n\n常陸宮が亡くなられた後、後ろ盾を失った姫君（末摘花）は、荒れ果てた邸で孤独に月日を過ごしていました。風の音さえも心細く響き、生い茂る蓬が門を塞ぎ、邸へ通じる道さえ判然としない有様です。世間から忘れ去られたような静寂の中で、彼女はただ亡き父の面影を抱いて生きていました。源氏は、このひっそりと咲く一輪の花のような女性に、まだ見ぬ幻想を抱き始めます。\n\n[English]\nAfter Prince Hitachi passed away, the princess was left without a protector in a decaying mansion. The sound of the wind felt lonely, and overgrown weeds blocked the gates. Genji, hearing rumors of this mysterious lady living in seclusion, began to imagine her as a delicate, hidden flower waiting to be found.","周囲を探索する/Explore the surroundings→3,二条院へ戻る/Return to Nijoin→1",,,,,silent.mp3,ruined_garden.jpg,,,
3,normal,"【原文/Original Text】\n\n左馬頭が語りし「なよよかならぬ女」の例なるべしと、御心はそそられて。その古めかしき住まひの様を、いぶかしく思しわたる。\n\n【現代文/Modern Japanese】\n\nかつて左馬頭が語った「雨夜の品定め」における、手強くも風情のある女性の例ではないかと、源氏の心は強く惹かれます。古風で格式高いはずの彼女が、なぜこれほどまでに困窮しているのか。その古い住居の様子や、彼女の頑なな心の内をどうしても確かめたくなり、源氏は夜の闇に紛れて邸を訪ねる決意を固めます。好奇心は、時に理性をも追い越していくものです。\n\n[English]\nGenji recalled the 'Rainy Night's Appraisal' and wondered if she was the type of woman mentioned there. His curiosity was piqued by her old-fashioned lifestyle. He felt a strong desire to see how she lived and what kind of person she truly was, leading him to visit her mansion under the cover of night.","邸の中を伺う/Peeking into the mansion→4,引き返す/Go back→2",,,,,night_wind.mp3,dark_gate.jpg,,,
4,normal,"【原文/Original Text】\n\nいと忍びて、荒れたる庭の草を分けて入りたまふ。露に濡るるもいとはず、ただかの人の心をのみ思しやる。\n\n【現代文/Modern Japanese】\n\n源氏は人目を忍び、荒れ果てた庭の深い草をかき分けて邸の内へと侵入します。装束が露に濡れることも厭わず、ただまだ見ぬ姫君の心の内に想いを馳せます。月光が微かに照らす邸は、まるで時間が止まったかのよう。源氏の胸は期待に高鳴りますが、そこには彼の想像を超える『真実』が待ち受けているとは、まだ知る由もありません。静寂の中に、虫の声だけが響いています。\n\n[English]\nGenji secretly entered the garden, pushing through the thick, overgrown grass. Despite his clothes getting wet with dew, he focused only on the lady's heart. The moonlight faintly illuminated the mansion, which looked as if time had stopped. He was filled with anticipation, unaware of the reality awaiting him.","さらに奥へ進む/Go deeper inside→5,慎重になる/Proceed with caution→6",,,,,insects.mp3,overgrown_garden.jpg,,,
5,normal,"【原文/Original Text】\n\n中納言の君など、心知れる人々を仲立ちとして、文を奉りたまへど、返る言の葉もいと古めかしく、片意地なる筋に見ゆ。\n\n【現代文/Modern Japanese】\n\n源氏は中納言の君など、事情を知る者を通じて何度も手紙を送りました。しかし、末摘花からの返歌や返事は、あまりにも古臭く、現代の雅さとはかけ離れたものでした。筆跡は力強くも無骨で、表現は万葉集のような古風なもの。源氏はその融通の利かなさに少し驚きつつも、「これこそが高貴な血筋の誇りなのだ」と、自分に都合よく解釈してしまいます。\n\n[English]\nGenji sent many letters through intermediaries, but the replies from Suetsumuhana were outdated and stubborn. Her handwriting was stiff, and her style was ancient. Genji was surprised by her lack of modern elegance but convinced himself that this was a sign of her noble pride and traditional upbringing.","手紙を読み返す/Read the letter again→7,休息をとる/Take a rest→5",,,,,koto.mp3,room.jpg,!eat,,
6,normal,"【原文/Original Text】\n\nわが心ながらも、えなだめがたく、をかしき方へのみひかされて。人わらふべき御振る舞いをも、つつみたまはず。\n\n【現代文/Modern Japanese】\n\n源氏自身、自分の心が抑えがたい好奇心に突き動かされていることを自覚していました。他人が見れば「なぜあのような荒れた家の女に」と笑われるような振る舞いであっても、彼は止まることができません。美しさよりも、未知なるもの、風変わりなものへの探求心が、若き源氏を突き動かします。その情熱が、やがて彼を滑稽な状況へと導くことになります。\n\n[English]\nGenji was aware that he couldn't control his own curiosity. He didn't care if others laughed at him for pursuing a woman in such a ruined house. His desire to explore the unknown pushed him forward, even if it led him into ridiculous situations. His passion was stronger than his common sense.","覚悟を決める/Prepare yourself→8,庭を眺める/Watch the garden→4",,,,,anxiety.mp3,night_view.jpg,,,
7,battle,"【心の葛藤/Inner Conflict】\n\n源氏の心の中で、期待と不安が交錯します。「もし期待外れだったら？」「いや、常陸宮の姫君が凡庸なはずがない」。己の幻想と現実の予感が激しくぶつかり合います。\n\n[English]\nExpectation and anxiety clash in Genji's heart. 'What if she's a disappointment?' 'No, the daughter of Prince Hitachi cannot be ordinary.' His fantasy fights against his premonition of reality.",自分を信じる/Believe in yourself,己の幻想/My own fantasy,8,10,8,battle_tension.mp3,inner_mind.jpg,,,
8,normal,"【原文/Original Text】\n\n雪の降り積みたること、いとどこの所のあはれを添へて、月の光も隈なきに、かの姫君の姿を、ついに見まゐらせたまふ。\n\n【現代文/Modern Japanese】\n\n雪が降り積もった夜、邸の情趣はいっそう深まりました。曇りのない月光が辺りを照らし出す中、源氏はついに、隠されていた姫君の姿を目の当たりにします。彼女は寒さに震えながら、古びた黒い毛皮を羽織っていました。しかし、月光が残酷なまでに暴き出したのは、源氏が夢想していた絶世の美女ではありませんでした。その瞬間、源氏の時が止まります。\n\n[English]\nOn a snowy night, the moonlight was bright and clear. Genji finally caught a glimpse of the princess. She was shivering in an old black fur coat. However, the moonlight cruelly revealed that she was not the beauty he had imagined. In that moment, time seemed to stand still for Genji.","注視する/Look closely→9,視線を逸らす/Avert your eyes→10",,,,,snow_night.mp3,snow_mansion.jpg,,,
9,normal,"【原文/Original Text】\n\n座れるさま、いと高く、鼻のいと長う垂りて、先の方すこし赤みたまへる、世に知らぬ色ななり。\n\n【現代文/Modern Japanese】\n\n彼女の座っている姿は背が不自然に高く、そして何よりも、鼻が異様に長く垂れ下がり、その先が赤く色づいていました。それはこの世のものとは思えないほど異様な光景でした。肌は白く、額は広いのですが、その鼻のインパクトがすべてを台無しにしています。源氏は激しいショックを受けながらも、その姿を直視せずにはいられませんでした。これが、彼が追い求めた「幻の花」の正体だったのです。\n\n[English]\nShe was tall while sitting, and her nose was remarkably long, with a reddish tip. It was a sight unlike anything Genji had ever seen. Although her skin was white, the nose ruined everything. Genji was deeply shocked but couldn't look away from the reality of the 'flower' he had pursued.","絶望する/Feel despair→11,同情する/Feel pity→12",,,,,shock.mp3,suetsumuhana_face.jpg,,,
10,normal,"【原文/Original Text】\n\n「あな、いとほし」と思ひながらも、見ぬふりをして、物語などしたまふ。言葉少ななる様も、奥ゆかしきよりは、ただ片意地に見ゆ。\n\n【現代文/Modern Japanese】\n\n「ああ、なんてお労しいことか」と源氏は心の中で呟きました。しかし、彼は洗練された貴公子として、気づかないふりをして会話を続けます。彼女が言葉少なにしているのも、以前は奥ゆかしいと感じていましたが、今となっては単に気が利かない、頑固な性格の現れにしか見えません。幻滅は、すべてのフィルターを剥ぎ取っていきます。それでも源氏は、対面を保とうと努めます。\n\n[English]\n'How pitiful,' Genji thought, but he pretended not to notice and continued the conversation. Her silence, which he once thought was modesty, now just seemed like stubbornness and a lack of wit. Disillusionment stripped away his romantic filters, yet he tried to maintain his dignity.","話を続ける/Continue talking→13,帰宅する/Go home→14",,,,,melancholy.mp3,dim_room.jpg,,,
