id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
1,normal,【あらすじ/Summary】\n光源氏の没後、宇治の地で静かに暮らす八の宮。彼には二人の娘、大君と中君がいた。ある秋の夜、薫（20歳）は八の宮を訪ね、月明かりの下で琴と琵琶を合奏する姫君たちの姿を垣間見る。それは「宇治十帖」の悲恋の幕開けであった。\n\n【登場人物と年齢/Characters and Ages】\n薫（Kaoru）：20歳。源氏の私生児とされるが、実は柏木の子。仏道への志が強い。\n八の宮（Hachi no Miya）：源氏の異母弟。宇治に隠棲し、仏道修行に明け暮れる。\n大君（Oigimi）：八の宮の長女。慎ましやかで気品に満ちている。\n中君（Naka no Kimi）：八の宮の次女。姉と共に宇治の寂しい地で育つ。\n\n【見どころ/Highlights】\n霧深い宇治の情景描写と、透き通るような姫君たちの美しさ、そして薫が抱く「出生の秘密」への苦悩。,物語を始める/Begin Story→2,,,,,court_music.mp3,uji_river.jpg,,,
2,normal,"【原文/Original】\n世の中にいとあはれなるもの多けれど、宇治の山里の秋の夕暮れ、さらでも心細きを、まして。 \n\n【現代文/Modern Japanese】\n世の中にしみじみと心打たれるものは多いが、宇治の山里の秋の夕暮れは、そうでなくても心細いものなのに、ましてこの侘び住まいの情景ときたら。 \n\n【英語訳/English】\nIn this world, there are many things that touch the heart, but an autumn evening in the mountain village of Uji is particularly poignant—lonely enough in itself, but even more so in this desolate setting. \n\n薫は八の宮の気高い隠棲生活に憧れ、足繁くこの地を訪れます。宇治川の瀬の音、霧の深さ。都会の喧騒を離れたこの地こそ、彼の求める聖域のように思えたのです。","八の宮を訪ねる/Visit Hachi no Miya→3,前に戻る/Back→1",,,,,temple_zen.mp3,misty_mountain.jpg,,,
3,normal,"【原文/Original】\n八の宮は、仏の道にひたすら入りたまひて、明け暮れ念仏を唱へつつ、尊くおはします。 \n\n【現代文/Modern Japanese】\n八の宮は、ひたすら仏道に精進なさり、明け暮れ念仏を唱えて尊い様子でいらっしゃる。 \n\n【英語訳/English】\nPrince Hachi devoted himself entirely to the Way of the Buddha, chanting prayers day and night, living a life of profound sanctity. \n\n薫と八の宮は、俗世の無常について深く語り合います。八の宮は、自らの不遇な身の上を嘆くことなく、ただ娘たちの行く末だけを案じていました。薫はその清廉な精神に深く心服し、まるで本当の父のように八の宮を慕うようになります。","仏道を語る/Talk of Buddhism→4,前に戻る/Back→2",,,,,temple_zen.mp3,temple_interior.jpg,,,
4,normal,"【原文/Original】\n月の明るき夜、薫は、八の宮の御不在を知らずして、御庵を訪ねたまふ。 \n\n【現代文/Modern Japanese】\n月の明るい夜、薫は八の宮が不在であるとは知らずに、そのお住まいを訪ねなさった。 \n\n【英語訳/English】\nOn a night of brilliant moonlight, Kaoru visited the mountain villa, unaware that Prince Hachi was away. \n\n八の宮は山寺に籠もっており、邸は静まり返っていました。しかし、奥の方から微かに楽器の音が聞こえてくるではありませんか。薫は誘われるように、霧に濡れた庭へと足を踏み入れました。","音色を追う/Follow the sound→5,前に戻る/Back→3",,,,,koto_music.mp3,moonlight_garden.jpg,,,
5,normal,"【原文/Original】\n透垣の隙間より見れば、若き女二人が、琴と琵琶とを合奏したまふ。 \n\n【現代文/Modern Japanese】\n透垣の隙間から覗き見ると、若い女性二人が、琴と琵琶を合奏していらっしゃる。 \n\n【英語訳/English】\nLooking through a gap in the fence, he saw two young women playing the koto and the biwa in concert. \n\n月光の下で、大君と中君が寄り添い、優雅に弦を弾いていました。その姿は、この世のものとは思えぬほど清らかで、薫の心に強烈な衝撃を与えます。これがいわゆる「覗き見（垣間見）」の有名な場面です。","さらに見入る/Look closer→6,前に戻る/Back bereavement→4",,,,,koto_music.mp3,veranda.jpg,,,
6,battle,【心の葛藤/Internal Conflict】\n薫の心に、修行の志を揺るがすほどの激しい動揺が走ります。仏の道を目指しながら、美しき姫君たちに惹かれる自分を、彼は許せるでしょうか。\n\n【原文/Original】\n「心乱れて、仏の誓ひも忘られぬべき心地したまふ。」\n【現代文】\n「心が乱れて、仏への誓いも忘れてしまいそうな心地がなさる。」\n【English】\n'His heart was so stirred that he felt as if he might forget even his sacred vows to the Buddha.',煩悩を鎮める/Calm the desires,迷いの心/Spirit of Doubt,6,10,7,battle_bgm.mp3,misty_mountain.jpg,,,
7,normal,【原文/Original】\n薫は、己が宿世のあやしきを思ひ続け、涙をこぼしたまふ。 \n\n【現代文/Modern Japanese】\n薫は、自分の出生の不思議な宿命を思い続け、涙をこぼされた。 \n\n【英語訳/English】\nKaoru pondered the strangeness of his own destiny and could not hold back his tears. \n\n薫は、自分が光源氏の本当の子ではないという秘密を抱えています。その孤独感と、今見た姫君たちの気高さが混ざり合い、彼の魂を揺さぶります。彼は自分が何者であるか、どこへ行くべきかを問い続けます。,"宇治の夜を過ごす/Spend the night in Uji→8,前に戻る/Back→6",,,,,sad_melody.mp3,uji_river.jpg,,,
8,normal,"【原文/Original】\n阿闍梨の勧めにまかせて、心安き食事などしたまふ。 \n\n【現代文/Modern Japanese】\n阿闍梨の勧めに従って、心休まる食事などをなさる。 \n\n【英語訳/English】\nFollowing the abbot's suggestion, he partook of a simple and comforting meal. \n\n山里の素朴な精進料理が、薫の疲れた身心を癒します。川魚の焼ける匂いや、山の幸の香りが、都会の贅沢とは違う安らぎを与えてくれます。","食事をとる/Eat meal→9,前に戻る/Back→7",,,,,town_ambient.mp3,simple_room.jpg,!eat,,
9,normal,"【原文/Original】\n「橋姫の、心を汲みて、宇治の渡りの風も身にしむ。」 \n\n【現代文/Modern Japanese】\n「橋姫の心境を察すると、宇治の渡し場を吹く風も身にしみて感じられる。」 \n\n【英語訳/English】\n'As I sympathize with the heart of the Bridge Princess, the wind over the Uji crossing pierces me to the soul.' \n\n薫は大君への想いを和歌に託します。宇治橋を守る女神「橋姫」に大君をなぞらえ、自分の寂しい思いを伝えようとしますが、その声は霧の中に消えていくかのようです。","歌を詠む/Compose a poem→10,前に戻る/Back→8",,,,,koto_music.mp3,uji_bridge.jpg,,,
10,normal,【原文/Original】\n八の宮は、薫に大君らの後見を託したまはんと心に決めたまふ。 \n\n【現代文/Modern Japanese】\n八の宮は、薫に大君たちの後見を頼もうと心に決めなさった。 \n\n【英語訳/English】\nPrince Hachi decided in his heart to entrust the guardianship of Oigimi and her sister to Kaoru. \n\n老いた八の宮は、自分が死んだ後の娘たちの身の上を案じ、信頼できる薫にすべてを託そうと考えます。しかし、それが後に悲劇的な恋の絡み合いを生むことになるとは、まだ誰も知りません。,"決意を聞く/Hear the resolve→11,前に戻る/Back→9",,,,,temple_zen.mp3,temple_interior.jpg,,,
